,vessel,datet,lat,lon,depth,depth_range,hours,mean_temp,std_temp
0,Vessel_11,2018-09-15 13:03:09,41.8385,-67.9171,50.0,8.0,3.2,13.32,0.57
1,Vessel_11,2018-09-15 16:35:24,41.8424,-67.9178,52.0,8.0,2.925,12.74,0.75
2,Vessel_11,2018-09-18 13:59:05,41.9851,-67.7393,60.0,4.0,1.1,9.23,0.19
3,Vessel_11,2018-10-09 13:29:28,39.8353,-72.1026,95.0,6.0,2.75,12.83,0.03
4,Vessel_11,2018-10-20 13:01:27,39.7952,-72.237,93.0,6.0,1.95,12.88,0.23
5,Vessel_11,2018-10-20 17:07:07,39.7717,-72.2786,94.0,5.0,3.35,12.8,0.19
6,Vessel_11,2018-10-20 22:21:57,39.7955,-72.2511,91.0,5.0,4.625,12.94,0.27
7,Vessel_11,2018-12-20 06:10:09,40.8155,-71.1818,60.0,4.0,3.75,10.14,0.05
8,Vessel_11,2019-02-03 13:11:40,39.5403,-72.3365,166.0,22.0,0.65,12.81,0.15
9,Vessel_11,2019-02-07 07:50:00,39.0818,-72.7394,151.0,25.0,3.575,13.22,0.08
10,Vessel_11,2019-02-07 12:39:37,39.0407,-72.7897,154.0,23.0,0.425,12.54,0.13
11,Vessel_11,2019-02-07 17:53:03,38.9427,-72.8677,175.0,24.0,1.35,13.01,0.18
12,Vessel_11,2019-02-15 12:32:31,39.9178,-71.653,155.0,21.0,2.95,13.19,0.03
13,Vessel_11,2019-02-15 13:52:19,39.9129,-71.7823,138.0,4.0,0.525,13.08,0.02
14,Vessel_11,2019-02-20 17:06:13,39.9856,-71.7868,99.0,11.0,2.55,12.61,0.22
15,Vessel_11,2019-03-07 05:55:27,39.4024,-72.3515,147.0,21.0,3.6,13.33,0.09
16,Vessel_11,2019-03-15 18:05:45,42.0791,-69.7917,183.0,24.0,0.8,6.6,0.07
17,Vessel_11,2019-03-15 21:59:43,42.0219,-69.7616,169.0,10.0,2.75,6.81,0.06
18,Vessel_11,2019-03-17 05:24:39,42.2196,-69.7815,212.0,33.0,7.05,7.53,0.31
19,Vessel_11,2019-03-20 23:16:15,42.205,-69.7678,219.0,32.0,3.6,7.6,0.23
20,Vessel_11,2019-03-26 05:13:39,40.1576,-71.2442,114.0,5.0,2.95,12.89,0.07
21,Vessel_11,2019-03-26 06:02:13,40.117,-71.2852,47.0,4.0,0.1,8.3,0.7
22,Vessel_11,2019-03-26 15:14:38,39.9311,-71.4478,223.0,10.0,4.75,11.29,0.47
23,Vessel_11,2019-03-27 00:48:45,40.7426,-71.5134,64.0,2.0,0.7,6.6,0.05
24,Vessel_11,2019-03-28 00:29:22,40.2227,-71.1659,114.0,3.0,0.95,12.83,0.04
25,Vessel_11,2019-03-28 03:34:59,40.1602,-71.237,115.0,12.0,2.475,12.99,0.18
26,Vessel_11,2019-03-31 04:54:51,40.2965,-70.5838,108.0,6.0,1.65,10.11,0.22
27,Vessel_11,2019-04-23 11:21:42,40.0205,-71.8389,91.0,5.0,2.95,7.22,0.41
28,Vessel_11,2019-04-23 19:40:10,39.9292,-71.9233,106.0,15.0,1.675,9.28,0.92
29,Vessel_11,2019-04-30 07:50:17,40.3172,-70.7595,115.0,8.0,1.225,10.58,0.2
30,Vessel_11,2019-05-02 22:19:06,39.268,-72.8278,83.0,3.0,1.425,10.19,0.11
31,Vessel_11,2019-06-07 08:58:50,41.821000000000005,-67.6599,38.0,6.0,1.075,9.67,0.12
32,Vessel_11,2019-06-09 04:12:33,41.8159,-67.6757,37.0,6.0,3.825,10.02,0.04
33,Vessel_11,2019-06-15 03:40:58,41.8506,-67.4574,51.0,8.0,1.25,10.65,0.04
34,Vessel_11,2019-06-16 00:23:58,41.8711,-67.4831,50.0,8.0,1.425,10.28,0.04
35,Vessel_11,2019-06-16 03:09:31,41.8586,-67.4631,51.0,8.0,1.7,10.3,0.08
36,Vessel_11,2019-06-16 15:29:15,41.8671,-67.4772,51.0,8.0,1.925,10.37,0.03
37,Vessel_11,2019-06-18 05:14:34,41.8557,-67.4577,50.0,8.0,1.525,10.57,0.03
38,Vessel_11,2019-06-22 15:29:27,41.2339,-70.2538,21.0,3.0,1.85,13.76,0.51
39,Vessel_11,2019-07-01 00:52:56,41.1687,-70.1682,23.0,4.0,2.85,13.86,0.5
40,Vessel_11,2019-07-01 18:53:16,41.1554,-70.1722,23.0,1.0,0.45,14.1,0.08
41,Vessel_11,2019-07-02 14:41:58,41.1601,-70.1871,23.0,4.0,0.7,14.21,0.05
42,Vessel_11,2019-07-03 00:53:00,41.2094,-70.2705,25.0,3.0,2.075,13.46,0.27
43,Vessel_11,2019-07-09 21:04:32,41.1422,-70.2088,26.0,4.0,3.475,14.58,0.46
44,Vessel_11,2019-07-11 00:41:04,41.1237,-70.1884,25.0,4.0,4.675,14.5,0.93
45,Vessel_11,2019-07-11 19:03:07,41.2101,-70.3156,28.0,4.0,1.6,14.95,0.33
46,Vessel_11,2019-07-12 12:42:51,41.1977,-70.2766,27.0,4.0,3.65,14.79,0.5
47,Vessel_11,2019-07-12 16:33:06,41.1889,-70.2625,26.0,4.0,3.325,14.3,0.5
48,Vessel_11,2019-07-13 00:39:01,41.1279,-70.1954,25.0,4.0,3.025,14.8,0.38
49,Vessel_11,2019-07-13 11:02:26,41.1332,-70.211,26.0,3.0,1.9,14.97,0.31
50,Vessel_11,2019-07-13 13:04:54,41.1161,-70.2021,25.0,4.0,1.75,14.98,0.41
51,Vessel_11,2019-07-13 21:26:21,41.1303,-70.1808,26.0,2.0,1.1,15.39,0.08
52,Vessel_11,2019-07-14 00:43:37,41.1404,-70.2081,26.0,4.0,2.425,14.99,0.17
53,Vessel_11,2019-07-17 11:37:10,41.0024,-70.1334,24.0,4.0,2.0,16.2,0.63
54,Vessel_11,2019-07-19 11:29:44,41.1701,-70.286,28.0,4.0,2.05,13.12,0.38
55,Vessel_11,2019-07-20 11:06:10,40.9958,-70.1357,23.0,3.0,1.725,15.76,0.21
56,Vessel_11,2019-07-20 13:45:16,41.028,-70.1326,23.0,4.0,2.125,16.8,0.61
